cartodb_id,the_geom,the_geom_webmercator,lat,lon,iso,gadm2,date
3147208,0101000020E6100000063F9A7F2EBD26C061444F8888281F40,0101000020110F000084EBAF6FEE4F33C1CB024841708B2A41,7.78958333,-11.36949538,SLE,173474,2009-05-25
3147209,0101000020E6100000A2529920F28126C06666666666362140,0101000020110F000026F5C4549F1D33C15C7A8BDA04592D41,8.60625,-11.25380041,SLE,173427,2009-05-25
3147211,0101000020E61000000E9404766F1A2AC003910BEFEE9E2040,0101000020110F0000AAD0B0FC642B36C18E7A6278E8542C41,8.31041667,-13.05163163,SLE,173444,2009-06-10
3147212,0101000020E6100000114E6E88AF4626C09A99999999C92040,0101000020110F000019C8C6F04AEB32C1F7D8129A289E2C41,8.39375,-11.13805796,SLE,173441,2009-06-10
3147213,0101000020E61000005DD5C4C8B35926C09A99999999692240,0101000020110F000030CC438C71FB32C13179062A33692F41,9.20625,-11.17519977,SLE,173385,2009-06-10
3147214,0101000020E610000088C367258C4826C0CA3BC1DDDD6D2240,0101000020110F0000031D6FBADFEC32C164F196B88A702F41,9.21458333,-11.14169423,SLE,173385,2009-06-10
3147216,0101000020E6100000B02DB08528202AC063D55A7777472140,0101000020110F0000D7DF9643413036C1AA8F8AFF56762D41,8.63958333,-13.06280916,SLE,173433,2009-06-26
3147218,0101000020E6100000D25006BB1F0129C069F7715555052240,0101000020110F0000DFD82B017A3C35C1ABB68639B6BC2E41,9.01041667,-12.50219521,SLE,173399,2009-06-26
3147219,0101000020E6100000595393BFFF5526C09C2AA58888382240,0101000020110F00009B5376614CF832C1631D0F6DC7142F41,9.11041667,-11.16796683,SLE,173385,2009-06-26
3147221,0101000020E610000080E3DF25404226C069F7715555C52040,0101000020110F0000568E5FA886E732C109767C35D5962C41,8.38541667,-11.12939566,SLE,173441,2009-07-12
3147223,0101000020E61000004707C136248E25C0D05DD8BBBBCB2140,0101000020110F0000D3C0C02C8F4E32C112BDAD53AA592E41,8.89791667,-10.77762004,SLE,173408,2009-07-12
3147224,0101000020E61000007D9B178AE8F928C00000000000F02140,0101000020110F000088293F2F593635C164694A3C06982E41,8.96875,-12.48810226,SLE,173405,2009-07-12
3147226,0101000020E61000002F23AB11B08627C0D05DD8BBBB2B2140,0101000020110F0000F4FFDB1312FB33C125F273D9B1462D41,8.58541667,-11.76306205,SLE,173417,2009-08-29
3147227,0101000020E61000002586478F9D6F27C0FD6EF41011412140,0101000020110F0000045F66AD79E733C125C6B91D586B2D41,8.62708333,-11.71799896,SLE,173417,2009-08-29
3147228,0101000020E6100000CEC83914B27D2AC0CDCCCCCCCC5C2140,0101000020110F0000D207A13BB27F36C139002D9DFE9A2D41,8.68125,-13.24549926,SLE,173436,2009-08-29
3147229,0101000020E61000003750BF8F938928C0FFFFFFFFFF9F1F40,0101000020110F00000A54CADFF1D634C1CB80DA62DCF12A41,7.90625,-12.26870393,SLE,173368,2009-09-14
3147231,0101000020E6100000069FFF81E6D526C00000000000302140,0101000020110F0000BFBA0DD1EC6433C13B1D4138064E2D41,8.59375,-11.41777426,SLE,173410,2009-09-14
3147232,0101000020E6100000990C4B2CBED326C00000000000302140,0101000020110F0000D022F0B7176333C13B1D4138064E2D41,8.59375,-11.41356028,SLE,173410,2009-09-14
3147233,0101000020E61000003D6CD8A5FC5827C003910BEFEE1E2140,0101000020110F00003E9C67C141D433C1EA35B7FBB4302D41,8.56041667,-11.67380255,SLE,173428,2009-09-30
3147234,0101000020E610000083D81D7B8BD726C003910BEFEE1E2140,0101000020110F0000D7436659526633C1EA35B7FBB4302D41,8.56041667,-11.42098603,SLE,173410,2009-09-30
3147236,0101000020E610000069E8B87D034126C068F7715555E52040,0101000020110F0000493290B879E632C126D6F4A4C7CD2C41,8.44791667,-11.12697976,SLE,173421,2009-10-16
3147237,0101000020E6100000D5D1CCEE245B27C003910BEFEE1E2140,0101000020110F000063F0B0CF16D633C1EA35B7FBB4302D41,8.56041667,-11.67801615,SLE,173428,2009-10-16
3147238,0101000020E61000004F90129AA84826C03333333333C32040,0101000020110F0000EFDD4DE5F7EC32C1C0D2C3862B932C41,8.38125,-11.14191133,SLE,173441,2009-11-01
3147239,0101000020E6100000CD0A5E57403526C03333333333C32040,0101000020110F00002DA4B7597CDC32C1C0D2C3862B932C41,8.38125,-11.10400651,SLE,173441,2009-11-01
3147241,0101000020E6100000D995758391742AC0D05DD8BBBB8B2140,0101000020110F0000988B80C9F17736C119DE2A3EA6EB2D41,8.77291667,-13.22767268,SLE,173433,2009-11-01
3147242,0101000020E610000039EDAD71CB9F25C09C2AA58888D82140,0101000020110F000038CFC15B8D5D32C13B0D324BAC6F2E41,8.92291667,-10.81209903,SLE,173390,2009-11-01
3147243,0101000020E6100000D268F669AA0529C0D05DD8BBBB0B2240,0101000020110F00009224CF78554035C1B4483F08B8C72E41,9.02291667,-12.51106578,SLE,173399,2009-11-01
3147244,0101000020E6100000F9B6E4E1D24126C06666666666B62040,0101000020110F000060C9C2DB29E732C18EC78DA5317D2C41,8.35625,-11.12856203,SLE,173447,2009-11-17
3147246,0101000020E6100000899CF849394426C003910BEFEEBE2040,0101000020110F0000482193AC33E932C1BDEE9C31D88B2C41,8.37291667,-11.13324958,SLE,173441,2009-11-17
3147247,0101000020E61000000F311466903926C03333333333C32040,0101000020110F0000AE26DD0626E032C1C0D2C3862B932C41,8.38125,-11.1124298,SLE,173441,2009-11-17
3147248,0101000020E61000004CF952705F4226C09A99999999C92040,0101000020110F0000DE8CA63BA1E732C1F7D8129A289E2C41,8.39375,-11.12963439,SLE,173441,2009-11-17
